region,value
Cont_Cing_1 L,1.73033595213226e-12
Cont_Cing_1 R,6.40556704654532e-12
Cont_Cing_2 L,2.95719311417914e-12
Cont_Cing_2 R,2.6440376130378e-12
Cont_Cing_3 L,3.96109436731781e-12
Cont_Cing_3 R,4.05759053690101e-12
Cont_Cing_4 L,2.17910318090688e-12
Cont_Cing_4 R,1.45957193735887e-12
Cont_OFC_1 L,8.20039893228224e-11
Cont_PFCd_1 L,4.67737163628438e-12
Cont_PFCd_2 L,1.72349799370249e-11
Cont_PFCl_1 L,1.57817240516905e-10
Cont_PFCl_1 R,2.83350424181834e-11
Cont_PFCl_10 L,2.6813349327615e-12
Cont_PFCl_10 R,1.99733233258471e-11
Cont_PFCl_11 L,2.1484652464039e-11
Cont_PFCl_11 R,8.24376095176545e-12
Cont_PFCl_12 L,1.41145501984686e-11
Cont_PFCl_12 R,2.8700017362003e-12
Cont_PFCl_13 L,3.718546571188e-12
Cont_PFCl_13 R,1.86941359350896e-11
Cont_PFCl_14 R,5.26811436482085e-12
Cont_PFCl_15 R,1.21079898990584e-11
Cont_PFCl_16 R,1.74984161873766e-12
Cont_PFCl_17 R,3.41754704654838e-11
Cont_PFCl_18 R,1.97636265599118e-11
Cont_PFCl_19 R,1.73436912462273e-12
Cont_PFCl_2 L,3.68536497885301e-11
Cont_PFCl_2 R,4.75062658697382e-11
Cont_PFCl_20 R,1.02226765890107e-11
Cont_PFCl_21 R,7.55358771637993e-12
Cont_PFCl_22 R,1.09918080161307e-11
Cont_PFCl_23 R,6.00316209146567e-12
Cont_PFCl_24 R,7.63175273947048e-12
Cont_PFCl_25 R,1.45106781678039e-11
Cont_PFCl_3 L,3.0456303194739e-11
Cont_PFCl_3 R,1.30105207327253e-10
Cont_PFCl_4 L,4.15969669501657e-11
Cont_PFCl_4 R,1.91129729775242e-11
Cont_PFCl_5 L,4.21682494460846e-11
Cont_PFCl_5 R,6.66868712305325e-11
Cont_PFCl_6 L,6.27201078954398e-12
Cont_PFCl_6 R,6.01365303542223e-11
Cont_PFCl_7 L,9.76673251454415e-12
Cont_PFCl_7 R,2.07544162368858e-11
Cont_PFCl_8 L,2.19822068490448e-11
Cont_PFCl_8 R,5.52793482579029e-11
Cont_PFCl_9 L,4.26324781783508e-12
Cont_PFCl_9 R,3.63425301146896e-11
Cont_PFCmp_1 L,2.92330423272911e-12
Cont_PFCmp_1 R,3.0968622962563e-12
Cont_PFCmp_2 L,1.12975121843828e-12
Cont_PFCmp_2 R,8.28346938302397e-12
Cont_PFCmp_3 R,3.63269845642399e-12
Cont_PFCv_1 L,3.12698792610218e-13
Cont_PFCv_1 R,3.02801004155473e-12
Cont_PFCv_2 L,2.38363223908538e-12
Cont_Par_1 L,1.64738771389383e-11
Cont_Par_1 R,2.67945703588985e-11
Cont_Par_2 L,2.84439461875677e-11
Cont_Par_2 R,2.81140909924491e-11
Cont_Par_3 L,1.10470563405338e-11
Cont_Par_3 R,2.19871001435858e-11
Cont_Par_4 L,4.39783928521075e-12
Cont_Par_4 R,1.76513158191381e-11
Cont_Par_5 L,1.40085675516011e-11
Cont_Par_5 R,1.83002465336629e-11
Cont_Par_6 L,8.39349198855448e-12
Cont_Par_6 R,5.64360009917651e-12
Cont_Par_7 L,1.25389819760929e-11
Cont_Par_7 R,2.46339781123971e-11
Cont_Par_8 L,1.85019620035257e-11
Cont_Par_8 R,1.90917607222346e-12
Cont_Par_9 L,8.33117287710039e-12
Cont_Par_9 R,4.12797706359368e-12
Cont_Temp_1 L,2.90503853599681e-11
Cont_Temp_1 R,5.16075501416971e-11
Cont_Temp_2 R,3.62376735360129e-11
Cont_pCun_1 L,2.79122943430887e-11
Cont_pCun_1 R,9.72486897929414e-12
Cont_pCun_2 L,2.24703702670991e-12
Cont_pCun_2 R,6.75324697769534e-12
Default_PFC_1 L,4.58525399609226e-13
Default_PFC_10 L,2.88472172979303e-11
Default_PFC_11 L,1.37013209738818e-11
Default_PFC_12 L,3.71068452912015e-11
Default_PFC_13 L,3.15615878657533e-11
Default_PFC_14 L,2.84297577795783e-11
Default_PFC_15 L,4.38363860663533e-12
Default_PFC_16 L,3.59684738095386e-11
Default_PFC_17 L,3.71541068584598e-12
Default_PFC_18 L,1.78887589966203e-11
Default_PFC_19 L,2.64941050600372e-11
Default_PFC_2 L,3.12765720152918e-11
Default_PFC_20 L,1.71071825722843e-11
Default_PFC_21 L,2.77573550852662e-11
Default_PFC_22 L,6.11740049618233e-12
Default_PFC_23 L,2.82100709364135e-11
Default_PFC_24 L,1.27502077715105e-11
Default_PFC_25 L,1.85014165386071e-11
Default_PFC_26 L,1.42074717214e-11
Default_PFC_27 L,3.91035838908652e-11
Default_PFC_28 L,2.14145649936978e-11
Default_PFC_29 L,1.55540610087631e-11
Default_PFC_3 L,2.6903727797075e-11
Default_PFC_4 L,2.26683537014549e-11
Default_PFC_5 L,4.89149997640411e-11
Default_PFC_6 L,1.87990535601613e-11
Default_PFC_7 L,5.23437086487578e-11
Default_PFC_8 L,5.32767490828491e-11
Default_PFC_9 L,2.3156289156307e-11
Default_PFCdPFCm_1 R,1.74641662158752e-11
Default_PFCdPFCm_10 R,1.36440022075932e-11
Default_PFCdPFCm_11 R,1.05688573259606e-11
Default_PFCdPFCm_12 R,1.8490516113309e-11
Default_PFCdPFCm_13 R,1.12767691397693e-11
Default_PFCdPFCm_14 R,1.37015650784274e-11
Default_PFCdPFCm_15 R,1.47822405784662e-11
Default_PFCdPFCm_16 R,4.84511097400764e-12
Default_PFCdPFCm_17 R,1.26544515374966e-11
Default_PFCdPFCm_18 R,2.37094428164266e-11
Default_PFCdPFCm_19 R,1.26587927233974e-11
Default_PFCdPFCm_2 R,1.49870278798861e-11
Default_PFCdPFCm_3 R,2.46298504103841e-12
Default_PFCdPFCm_4 R,7.5282505617215e-12
Default_PFCdPFCm_5 R,2.53658538816414e-11
Default_PFCdPFCm_6 R,1.56473410840427e-11
Default_PFCdPFCm_7 R,3.07109662162884e-12
Default_PFCdPFCm_8 R,6.84329514296005e-11
Default_PFCdPFCm_9 R,9.5621226303921e-13
Default_PFCv_1 R,3.57988060074881e-12
Default_PFCv_2 R,2.44611890725982e-11
Default_PFCv_3 R,1.19952758269457e-11
Default_PFCv_4 R,6.86020231011508e-11
Default_PFCv_5 R,3.74643955504229e-11
Default_PFCv_6 R,3.96511104619956e-11
Default_PHC_1 L,1.43759715040302e-12
Default_Par_1 L,1.65867758402185e-12
Default_Par_1 R,1.24493692481849e-11
Default_Par_10 L,8.67014663484649e-12
Default_Par_11 L,1.66291332553753e-11
Default_Par_12 L,1.52970800756606e-11
Default_Par_13 L,1.31110956479606e-11
Default_Par_2 L,2.7391743032908e-12
Default_Par_2 R,1.85986903268646e-12
Default_Par_3 L,1.0543419897239e-11
Default_Par_3 R,1.16075328216528e-11
Default_Par_4 L,7.39011011117773e-12
Default_Par_4 R,2.74870053349191e-12
Default_Par_5 L,3.65095975512317e-12
Default_Par_5 R,3.68954613481813e-12
Default_Par_6 L,1.03552417980746e-11
Default_Par_6 R,2.26529021545743e-11
Default_Par_7 L,3.50684126266766e-11
Default_Par_7 R,1.01287695998288e-11
Default_Par_8 L,1.75944854557259e-11
Default_Par_8 R,1.8320330323588e-11
Default_Par_9 L,2.47478138730878e-11
Default_Temp_1 L,4.0256245879226e-11
Default_Temp_1 R,6.29319965063512e-11
Default_Temp_10 L,1.25198098951468e-12
Default_Temp_10 R,1.40346155419601e-11
Default_Temp_11 L,1.78227472960949e-11
Default_Temp_11 R,2.96662275639174e-12
Default_Temp_12 L,3.20918752597452e-12
Default_Temp_2 L,6.79028645857838e-11
Default_Temp_2 R,9.30453437886495e-11
Default_Temp_3 L,2.17959358439296e-11
Default_Temp_3 R,2.19006912276803e-11
Default_Temp_4 L,4.07373067021632e-11
Default_Temp_4 R,3.50815289145098e-11
Default_Temp_5 L,5.06586176929015e-11
Default_Temp_5 R,3.18830425699863e-11
Default_Temp_6 L,9.52722216378715e-12
Default_Temp_6 R,1.11353825761394e-11
Default_Temp_7 L,4.39473733505064e-11
Default_Temp_7 R,1.90455014314615e-11
Default_Temp_8 L,2.9524400828767e-12
Default_Temp_8 R,1.45284222081433e-12
Default_Temp_9 L,9.99881989533914e-12
Default_Temp_9 R,1.63460702227269e-12
Default_pCunPCC_1 L,4.61082835999746e-12
Default_pCunPCC_1 R,3.19933404068275e-12
Default_pCunPCC_10 L,3.36198083284776e-12
Default_pCunPCC_10 R,3.98268235153369e-12
Default_pCunPCC_11 L,9.31543989245419e-13
