region,value
Cont_Cing_1 L,6.27354451606996e-13
Cont_Cing_1 R,5.31284688668376e-13
Cont_Cing_2 L,2.8985864256006e-13
Cont_Cing_2 R,2.87936625295093e-13
Cont_Cing_3 L,4.67469513230856e-13
Cont_Cing_3 R,3.08156817146626e-13
Cont_Cing_4 L,2.00962413497301e-13
Cont_Cing_4 R,2.34028192115695e-13
Cont_OFC_1 L,1.91775435422211e-12
Cont_PFCd_1 L,6.46226788290353e-13
Cont_PFCd_2 L,2.88841535173182e-12
Cont_PFCl_1 L,3.67291416617872e-12
Cont_PFCl_1 R,1.1710825622211e-12
Cont_PFCl_10 L,9.5324062584505e-13
Cont_PFCl_10 R,1.17082802754648e-12
Cont_PFCl_11 L,2.48215748237695e-12
Cont_PFCl_11 R,2.19078413452391e-12
Cont_PFCl_12 L,2.07714016738209e-12
Cont_PFCl_12 R,1.10412223705926e-12
Cont_PFCl_13 L,4.79623294844421e-13
Cont_PFCl_13 R,1.76866944980211e-12
Cont_PFCl_14 R,4.69704051627607e-13
Cont_PFCl_15 R,2.33565847974415e-12
Cont_PFCl_16 R,4.36752605724061e-13
Cont_PFCl_17 R,3.12746597752828e-12
Cont_PFCl_18 R,1.15034322134104e-12
Cont_PFCl_19 R,6.11421096790038e-13
Cont_PFCl_2 L,9.92012017404768e-13
Cont_PFCl_2 R,3.10063308263962e-12
Cont_PFCl_20 R,1.73743146519483e-12
Cont_PFCl_21 R,2.71670825032986e-12
Cont_PFCl_22 R,1.41533376783012e-12
Cont_PFCl_23 R,9.95288952716953e-13
Cont_PFCl_24 R,1.11933548343338e-12
Cont_PFCl_25 R,1.63259025086389e-12
Cont_PFCl_3 L,2.13207155103652e-12
Cont_PFCl_3 R,3.23239750414177e-12
Cont_PFCl_4 L,2.31060852389087e-12
Cont_PFCl_4 R,1.69541033331467e-12
Cont_PFCl_5 L,3.08897373605718e-12
Cont_PFCl_5 R,1.59138921292985e-12
Cont_PFCl_6 L,8.2133162185714e-13
Cont_PFCl_6 R,2.55238821327145e-12
Cont_PFCl_7 L,6.81009744287477e-13
Cont_PFCl_7 R,1.37380632306756e-12
Cont_PFCl_8 L,4.57315635886445e-12
Cont_PFCl_8 R,2.74772855376677e-12
Cont_PFCl_9 L,2.53712059754118e-12
Cont_PFCl_9 R,1.66640742669296e-12
Cont_PFCmp_1 L,9.48983041885105e-13
Cont_PFCmp_1 R,8.84631560798826e-13
Cont_PFCmp_2 L,2.2222484735526e-13
Cont_PFCmp_2 R,1.24390134746882e-12
Cont_PFCmp_3 R,9.64268415283421e-13
Cont_PFCv_1 L,2.12898612182276e-13
Cont_PFCv_1 R,3.66258718362954e-13
Cont_PFCv_2 L,5.11871631841728e-13
Cont_Par_1 L,1.51880220504535e-12
Cont_Par_1 R,3.74269114867347e-12
Cont_Par_2 L,2.30746482724277e-12
Cont_Par_2 R,3.55057298894596e-12
Cont_Par_3 L,4.06623447223806e-12
Cont_Par_3 R,1.88245410377748e-12
Cont_Par_4 L,5.50214193980798e-13
Cont_Par_4 R,3.98485530856892e-12
Cont_Par_5 L,3.09920829934744e-12
Cont_Par_5 R,3.05580579532312e-12
Cont_Par_6 L,2.52485330935832e-12
Cont_Par_6 R,1.62592100918739e-12
Cont_Par_7 L,1.78077168798165e-12
Cont_Par_7 R,3.22315703633649e-12
Cont_Par_8 L,1.95011503578687e-12
Cont_Par_8 R,1.0190044284847e-12
Cont_Par_9 L,5.75668067123359e-13
Cont_Par_9 R,8.77667669835038e-13
Cont_Temp_1 L,7.89863603961184e-13
Cont_Temp_1 R,1.95718280696902e-12
Cont_Temp_2 R,2.78489917810676e-12
Cont_pCun_1 L,5.45829427518534e-12
Cont_pCun_1 R,2.62696255776702e-12
Cont_pCun_2 L,6.57307051858962e-13
Cont_pCun_2 R,2.68622710450815e-12
Default_PFC_1 L,1.11608875824158e-13
Default_PFC_10 L,1.28940451149504e-12
Default_PFC_11 L,6.93556639964442e-13
Default_PFC_12 L,2.01172513170954e-12
Default_PFC_13 L,1.97790089274824e-12
Default_PFC_14 L,3.26375333602834e-12
Default_PFC_15 L,5.26019297210234e-13
Default_PFC_16 L,1.81978434905312e-12
Default_PFC_17 L,7.38517629318692e-13
Default_PFC_18 L,1.86045424986302e-12
Default_PFC_19 L,2.09373566596559e-12
Default_PFC_2 L,4.13259311084682e-13
Default_PFC_20 L,1.66225748225856e-12
Default_PFC_21 L,1.60583337105102e-12
Default_PFC_22 L,1.55757857927536e-12
Default_PFC_23 L,1.75163592721885e-12
Default_PFC_24 L,1.68171284084321e-12
Default_PFC_25 L,1.08616404786167e-12
Default_PFC_26 L,6.32341374674382e-13
Default_PFC_27 L,3.71122949929087e-12
Default_PFC_28 L,1.27055395861465e-12
Default_PFC_29 L,1.00370623923922e-12
Default_PFC_3 L,8.16769093819888e-13
Default_PFC_4 L,1.9269209440683e-12
Default_PFC_5 L,1.35934657351606e-12
Default_PFC_6 L,7.94378896015627e-13
Default_PFC_7 L,1.2792330063447e-12
Default_PFC_8 L,1.72931692513404e-12
Default_PFC_9 L,9.83843632502294e-13
Default_PFCdPFCm_1 R,4.95160404876262e-13
Default_PFCdPFCm_10 R,8.96033755250461e-13
Default_PFCdPFCm_11 R,1.57851898828888e-12
Default_PFCdPFCm_12 R,2.17055691267791e-12
Default_PFCdPFCm_13 R,2.16082246697089e-12
Default_PFCdPFCm_14 R,1.16425372457322e-12
Default_PFCdPFCm_15 R,1.91982026795103e-12
Default_PFCdPFCm_16 R,1.42896610738999e-12
Default_PFCdPFCm_17 R,1.5322477501412e-12
Default_PFCdPFCm_18 R,2.58258544789524e-12
Default_PFCdPFCm_19 R,1.38400005541177e-12
Default_PFCdPFCm_2 R,8.63624631295673e-13
Default_PFCdPFCm_3 R,1.35098920840271e-13
Default_PFCdPFCm_4 R,7.82027704826281e-13
Default_PFCdPFCm_5 R,9.84339986687239e-13
Default_PFCdPFCm_6 R,1.7973391034133e-12
Default_PFCdPFCm_7 R,9.74791137761231e-13
Default_PFCdPFCm_8 R,3.30983608999174e-12
Default_PFCdPFCm_9 R,2.14156229339782e-13
Default_PFCv_1 R,9.91485069043314e-14
Default_PFCv_2 R,1.01848863870377e-12
Default_PFCv_3 R,5.44203498446717e-13
Default_PFCv_4 R,1.19855563080795e-12
Default_PFCv_5 R,1.53206946665919e-12
Default_PFCv_6 R,1.52333682217454e-12
Default_PHC_1 L,2.80696748257646e-13
Default_Par_1 L,4.92676423934488e-13
Default_Par_1 R,1.36977225917532e-12
Default_Par_10 L,2.32294073157578e-12
Default_Par_11 L,2.57338741692401e-12
Default_Par_12 L,2.47308753209051e-12
Default_Par_13 L,1.69666167147902e-12
Default_Par_2 L,8.36505432636544e-13
Default_Par_2 R,5.74888193800778e-13
Default_Par_3 L,1.39687059372311e-12
Default_Par_3 R,2.22765593607961e-12
Default_Par_4 L,1.64128212473236e-12
Default_Par_4 R,1.54457287390558e-12
Default_Par_5 L,1.54680664754954e-12
Default_Par_5 R,2.70408875343687e-12
Default_Par_6 L,1.46073415593712e-12
Default_Par_6 R,2.12717431860309e-12
Default_Par_7 L,4.41407429126861e-12
Default_Par_7 R,4.95064784055975e-12
Default_Par_8 L,2.07443351097236e-12
Default_Par_8 R,5.59006288643333e-12
Default_Par_9 L,2.45246246103739e-12
Default_Temp_1 L,3.67284705154997e-12
Default_Temp_1 R,4.08562985957397e-12
Default_Temp_10 L,6.55424298300715e-13
Default_Temp_10 R,2.74311260697524e-12
Default_Temp_11 L,1.72140660183552e-12
Default_Temp_11 R,1.08181865173811e-12
Default_Temp_12 L,1.73885325641251e-12
Default_Temp_2 L,2.87985563071428e-12
Default_Temp_2 R,2.48185488816633e-12
Default_Temp_3 L,1.42992586347232e-12
Default_Temp_3 R,2.38781759208055e-12
Default_Temp_4 L,1.64234994515748e-12
Default_Temp_4 R,2.91955972841306e-12
Default_Temp_5 L,3.30638378293805e-12
