region,value
Cont_Cing_1 L,2.96137040772753e-12
Cont_Cing_1 R,5.99256652451396e-12
Cont_Cing_2 L,1.19343262564017e-11
Cont_Cing_2 R,4.09745103633131e-12
Cont_Cing_3 L,5.6446992032857e-12
Cont_Cing_3 R,3.78419991765449e-12
Cont_Cing_4 L,7.55466973726431e-12
Cont_Cing_4 R,1.55268196016652e-12
Cont_OFC_1 L,2.07236593696947e-08
Cont_PFCd_1 L,4.81267046008162e-12
Cont_PFCd_2 L,4.26407095772686e-11
Cont_PFCl_1 L,3.73918904499131e-08
Cont_PFCl_1 R,1.62936201892646e-10
Cont_PFCl_10 L,1.08542210804042e-11
Cont_PFCl_10 R,1.10436025802917e-11
Cont_PFCl_11 L,3.55308728073709e-10
Cont_PFCl_11 R,4.61177817670117e-11
Cont_PFCl_12 L,1.11964137983734e-10
Cont_PFCl_12 R,4.31420723537095e-11
Cont_PFCl_13 L,1.73428452919491e-11
Cont_PFCl_13 R,1.59581227574985e-10
Cont_PFCl_14 R,8.21519919899761e-12
Cont_PFCl_15 R,1.12562248036971e-10
Cont_PFCl_16 R,3.61221578202323e-12
Cont_PFCl_17 R,4.55375916390431e-11
Cont_PFCl_18 R,1.17146387267349e-11
Cont_PFCl_19 R,3.02518200483769e-12
Cont_PFCl_2 L,2.8244248746406e-10
Cont_PFCl_2 R,4.02708883189981e-10
Cont_PFCl_20 R,2.96008579141041e-11
Cont_PFCl_21 R,2.71817472311569e-11
Cont_PFCl_22 R,2.03502203778306e-11
Cont_PFCl_23 R,1.00600526876369e-11
Cont_PFCl_24 R,8.23894722014833e-12
Cont_PFCl_25 R,1.64285294790806e-11
Cont_PFCl_3 L,1.0596069323324e-08
Cont_PFCl_3 R,1.73457607195043e-10
Cont_PFCl_4 L,8.02963724641839e-09
Cont_PFCl_4 R,1.83449681636493e-10
Cont_PFCl_5 L,5.86749915703128e-10
Cont_PFCl_5 R,1.01349596351899e-09
Cont_PFCl_6 L,6.4857450575749e-11
Cont_PFCl_6 R,3.50702718796085e-11
Cont_PFCl_7 L,2.2662696034866e-10
Cont_PFCl_7 R,5.15513053761446e-11
Cont_PFCl_8 L,1.2952706145678e-09
Cont_PFCl_8 R,2.54172013370002e-10
Cont_PFCl_9 L,2.84699639869064e-10
Cont_PFCl_9 R,2.30018091307571e-11
Cont_PFCmp_1 L,1.87511001773824e-11
Cont_PFCmp_1 R,2.55578453814865e-11
Cont_PFCmp_2 L,2.75213222492285e-12
Cont_PFCmp_2 R,4.76608873786976e-11
Cont_PFCmp_3 R,1.02977888374711e-11
Cont_PFCv_1 L,1.22834584359418e-11
Cont_PFCv_1 R,1.49261365082082e-11
Cont_PFCv_2 L,1.79923350071029e-10
Cont_Par_1 L,8.10615467123484e-12
