region,value
Cont_Cing_1 L,1.76106196354623e-10
Cont_Cing_1 R,3.27872587179742e-10
Cont_Cing_2 L,1.82994126751516e-10
Cont_Cing_2 R,2.17397420906671e-10
Cont_Cing_3 L,3.23783478272126e-10
Cont_Cing_3 R,2.98236123636054e-10
Cont_Cing_4 L,2.15664045217104e-10
Cont_Cing_4 R,1.10364140970526e-10
Cont_OFC_1 L,4.02246788340428e-09
Cont_PFCd_1 L,5.35245094922253e-10
Cont_PFCd_2 L,1.67065984405774e-09
Cont_PFCl_1 L,6.56376733155065e-09
Cont_PFCl_1 R,1.87732585499551e-09
Cont_PFCl_10 L,3.52707022868748e-10
Cont_PFCl_10 R,1.34354298996013e-09
Cont_PFCl_11 L,1.41930718280919e-09
Cont_PFCl_11 R,9.83960763396794e-10
Cont_PFCl_12 L,1.01837972214501e-09
Cont_PFCl_12 R,3.82670172968517e-10
Cont_PFCl_13 L,4.00983240028428e-10
Cont_PFCl_13 R,1.28255166370604e-09
Cont_PFCl_14 R,5.9521318004869e-10
Cont_PFCl_15 R,1.29862225004733e-09
Cont_PFCl_16 R,3.33318195977788e-10
Cont_PFCl_17 R,1.85711171763864e-09
Cont_PFCl_18 R,1.06746275794368e-09
Cont_PFCl_19 R,2.88312756815686e-10
Cont_PFCl_2 L,2.16403161492995e-09
Cont_PFCl_2 R,2.57665357428236e-09
Cont_PFCl_20 R,8.71109054245758e-10
Cont_PFCl_21 R,7.34622562373195e-10
Cont_PFCl_22 R,1.00245943071112e-09
Cont_PFCl_23 R,4.52203787896211e-10
Cont_PFCl_24 R,7.4125402936374e-10
Cont_PFCl_25 R,8.61037731934427e-10
Cont_PFCl_3 L,1.91315960140073e-09
Cont_PFCl_3 R,6.31700429926914e-09
Cont_PFCl_4 L,1.93357030917792e-09
Cont_PFCl_4 R,1.42071429600299e-09
Cont_PFCl_5 L,3.43024104525674e-09
Cont_PFCl_5 R,3.47106173967246e-09
Cont_PFCl_6 L,6.31870272437728e-10
Cont_PFCl_6 R,3.2164744864742e-09
Cont_PFCl_7 L,9.10791613343378e-10
Cont_PFCl_7 R,1.25367230553317e-09
Cont_PFCl_8 L,1.71274986840022e-09
Cont_PFCl_8 R,2.94187488785865e-09
Cont_PFCl_9 L,5.63130144786366e-10
Cont_PFCl_9 R,2.96910838908612e-09
Cont_PFCmp_1 L,6.74704398559033e-10
Cont_PFCmp_1 R,6.43741482084878e-10
Cont_PFCmp_2 L,2.42310393774788e-10
Cont_PFCmp_2 R,7.14093731103674e-10
Cont_PFCmp_3 R,5.73686023905573e-10
Cont_PFCv_1 L,1.1547742158016e-10
Cont_PFCv_1 R,6.12054990538616e-10
Cont_PFCv_2 L,5.06838485230075e-10
Cont_Par_1 L,9.83342360266967e-10
Cont_Par_1 R,1.62432516897676e-09
Cont_Par_2 L,1.63995243431255e-09
Cont_Par_2 R,1.73918367391084e-09
Cont_Par_3 L,8.2741498938582e-10
Cont_Par_3 R,1.22719578919164e-09
Cont_Par_4 L,3.56919156442317e-10
Cont_Par_4 R,1.23217267087188e-09
Cont_Par_5 L,9.97322038761279e-10
Cont_Par_5 R,1.17670053814283e-09
Cont_Par_6 L,5.3780728262721e-10
Cont_Par_6 R,4.24346336107439e-10
Cont_Par_7 L,1.22185930564946e-09
Cont_Par_7 R,1.30256107061583e-09
Cont_Par_8 L,1.14571277101634e-09
Cont_Par_8 R,2.06711652854918e-10
Cont_Par_9 L,5.70265488623058e-10
Cont_Par_9 R,3.77092753518461e-10
Cont_Temp_1 L,1.81077425521918e-09
Cont_Temp_1 R,3.05952063772788e-09
Cont_Temp_2 R,2.77389861672187e-09
Cont_pCun_1 L,1.11793903160972e-09
Cont_pCun_1 R,6.93074266742922e-10
Cont_pCun_2 L,3.64264511527689e-10
Cont_pCun_2 R,5.02815594682998e-10
Default_PFC_1 L,1.5998117644694e-10
Default_PFC_10 L,1.4770276317026e-09
Default_PFC_11 L,1.98858049388671e-09
Default_PFC_12 L,1.75421973892036e-09
Default_PFC_13 L,1.51280301805545e-09
Default_PFC_14 L,2.91735879196363e-09
Default_PFC_15 L,4.63164472030959e-10
Default_PFC_16 L,1.75215999158082e-09
Default_PFC_17 L,5.6403665829376e-10
Default_PFC_18 L,1.29143287859704e-09
Default_PFC_19 L,1.88628721709196e-09
Default_PFC_2 L,1.91156311622694e-09
Default_PFC_20 L,1.41896769921894e-09
Default_PFC_21 L,2.04121143831237e-09
Default_PFC_22 L,8.26345061108947e-10
Default_PFC_23 L,1.87400770240046e-09
Default_PFC_24 L,1.01339212235528e-09
Default_PFC_25 L,1.14139818683324e-09
Default_PFC_26 L,9.80815934937984e-10
Default_PFC_27 L,2.91754428586888e-09
Default_PFC_28 L,1.73672816420466e-09
Default_PFC_29 L,1.18942585342211e-09
Default_PFC_3 L,2.43926706911614e-09
Default_PFC_4 L,2.3434023154257e-09
Default_PFC_5 L,2.72461314977798e-09
Default_PFC_6 L,1.89574619595442e-09
Default_PFC_7 L,2.74357395764713e-09
Default_PFC_8 L,2.34585763104657e-09
Default_PFC_9 L,1.54081876535647e-09
Default_PFCdPFCm_1 R,1.37391717442295e-09
Default_PFCdPFCm_10 R,8.93606452960456e-10
Default_PFCdPFCm_11 R,1.24634303844062e-09
Default_PFCdPFCm_12 R,1.31978609687187e-09
Default_PFCdPFCm_13 R,8.88635296696001e-10
Default_PFCdPFCm_14 R,1.02233765953355e-09
Default_PFCdPFCm_15 R,1.143399073024e-09
Default_PFCdPFCm_16 R,6.27460071308741e-10
Default_PFCdPFCm_17 R,1.03807537200928e-09
Default_PFCdPFCm_18 R,1.83500394196669e-09
Default_PFCdPFCm_19 R,9.25512150259276e-10
Default_PFCdPFCm_2 R,1.68869813776602e-09
Default_PFCdPFCm_3 R,3.73385496575906e-10
Default_PFCdPFCm_4 R,1.01683779061431e-09
Default_PFCdPFCm_5 R,1.36126399897389e-09
Default_PFCdPFCm_6 R,1.51009327619655e-09
Default_PFCdPFCm_7 R,4.87885907878161e-10
Default_PFCdPFCm_8 R,2.71537537135015e-09
Default_PFCdPFCm_9 R,1.61839894561649e-10
Default_PFCv_1 R,4.95158799006454e-10
Default_PFCv_2 R,2.26241724937938e-09
Default_PFCv_3 R,1.47685111641579e-09
Default_PFCv_4 R,3.14100861802433e-09
Default_PFCv_5 R,2.14848703885751e-09
Default_PFCv_6 R,2.37728433978494e-09
Default_PHC_1 L,2.298086197646e-10
Default_Par_1 L,1.94367050444576e-10
Default_Par_1 R,8.43532919145899e-10
Default_Par_10 L,8.12829929742267e-10
Default_Par_11 L,1.01858356293559e-09
Default_Par_12 L,1.30677828485742e-09
Default_Par_13 L,8.32197863466505e-10
Default_Par_2 L,3.73109047121088e-10
Default_Par_2 R,2.55368874018702e-10
Default_Par_3 L,8.97975901346522e-10
Default_Par_3 R,9.86983445034224e-10
Default_Par_4 L,6.22879016686242e-10
Default_Par_4 R,3.11214519159294e-10
Default_Par_5 L,5.1904031359885e-10
Default_Par_5 R,6.25374247991034e-10
Default_Par_6 L,9.22047925246285e-10
Default_Par_6 R,1.4035063403352e-09
Default_Par_7 L,1.9720074606085e-09
Default_Par_7 R,1.18903502523671e-09
Default_Par_8 L,1.03174284967942e-09
Default_Par_8 R,1.04342348027264e-09
Default_Par_9 L,1.4855408935399e-09
Default_Temp_1 L,2.44033805423847e-09
Default_Temp_1 R,3.75747008766844e-09
Default_Temp_10 L,3.38090834281073e-10
Default_Temp_10 R,1.21751688843611e-09
Default_Temp_11 L,1.08830410387492e-09
Default_Temp_11 R,3.85941329418703e-10
Default_Temp_12 L,5.1328959207664e-10
Default_Temp_2 L,3.55175530682398e-09
Default_Temp_2 R,4.29332345339796e-09
Default_Temp_3 L,1.73404218098927e-09
Default_Temp_3 R,1.59753501250714e-09
Default_Temp_4 L,2.41777472253197e-09
Default_Temp_4 R,2.20291565964324e-09
Default_Temp_5 L,3.42972914972113e-09
Default_Temp_5 R,1.84369603536681e-09
Default_Temp_6 L,1.01367811760039e-09
Default_Temp_6 R,1.60906748186807e-09
Default_Temp_7 L,2.95515221984632e-09
Default_Temp_7 R,1.53037567644851e-09
Default_Temp_8 L,5.82720898720281e-10
Default_Temp_8 R,2.86058339191973e-10
Default_Temp_9 L,9.86694214755768e-10
Default_Temp_9 R,3.40899283051549e-10
Default_pCunPCC_1 L,3.61886426611448e-10
Default_pCunPCC_1 R,3.58009719651437e-10
Default_pCunPCC_10 L,4.444754151028e-10
Default_pCunPCC_10 R,4.25418523537475e-10
Default_pCunPCC_11 L,2.0280585435641e-10
Default_pCunPCC_11 R,3.13762686637778e-10
Default_pCunPCC_12 L,2.10238553180052e-10
Default_pCunPCC_12 R,2.45192589167875e-10
Default_pCunPCC_13 L,2.94558446055489e-10
Default_pCunPCC_13 R,2.42127957547345e-10
Default_pCunPCC_14 L,2.86813666880972e-10
Default_pCunPCC_14 R,3.37333344494839e-10
Default_pCunPCC_15 L,6.21936832691917e-10
Default_pCunPCC_16 L,3.01212286388773e-10
Default_pCunPCC_17 L,3.43430279500572e-10
Default_pCunPCC_2 L,6.26568090366935e-11
Default_pCunPCC_2 R,8.6401139032774e-11
Default_pCunPCC_3 L,3.57014226757788e-10
Default_pCunPCC_3 R,3.93829840120186e-10
Default_pCunPCC_4 L,2.52471801868371e-10
Default_pCunPCC_4 R,4.42222443328524e-10
Default_pCunPCC_5 L,3.18710653840374e-10
Default_pCunPCC_5 R,1.77129936241756e-10
Default_pCunPCC_6 L,1.57028484943032e-10
Default_pCunPCC_6 R,4.20136854050413e-10
Default_pCunPCC_7 L,3.01964466921846e-10
Default_pCunPCC_7 R,2.20901885855744e-10
Default_pCunPCC_8 L,2.16518941082559e-10
Default_pCunPCC_8 R,2.93696364111566e-10
Default_pCunPCC_9 L,4.86547721539932e-10
Default_pCunPCC_9 R,1.68426186050047e-10
DorsAttn_FEF_1 L,1.01627218607191e-09
DorsAttn_FEF_1 R,1.28822669888257e-09
DorsAttn_FEF_2 L,5.17507411033426e-10
DorsAttn_FEF_2 R,2.07955127576513e-10
DorsAttn_FEF_3 L,3.67819160817326e-10
DorsAttn_FEF_3 R,7.6490569699973e-10
DorsAttn_FEF_4 L,1.1215081331522e-09
DorsAttn_FEF_4 R,7.35504905294182e-10
DorsAttn_Post_1 L,1.46637299556585e-09
DorsAttn_Post_1 R,6.30237034346243e-10
DorsAttn_Post_10 L,2.04606761224605e-10
DorsAttn_Post_10 R,3.25343228895643e-10
DorsAttn_Post_11 L,5.63904032720453e-10
DorsAttn_Post_11 R,4.91218734358975e-10
DorsAttn_Post_12 L,7.32697807836061e-10
DorsAttn_Post_12 R,3.66962199270086e-10
DorsAttn_Post_13 L,4.62574973638975e-10
DorsAttn_Post_13 R,5.27392698775469e-10
DorsAttn_Post_14 L,2.52089896806754e-10
DorsAttn_Post_14 R,8.59234498726248e-10
DorsAttn_Post_15 L,2.85414095885824e-10
DorsAttn_Post_15 R,5.51371915740134e-10
DorsAttn_Post_16 L,4.22374193775515e-10
DorsAttn_Post_16 R,2.86592339680899e-10
DorsAttn_Post_17 L,4.65271622899044e-10
DorsAttn_Post_17 R,5.55729928053317e-10
DorsAttn_Post_18 L,7.16724691747569e-10
DorsAttn_Post_18 R,3.44294901349905e-10
DorsAttn_Post_19 L,4.98766945377762e-10
DorsAttn_Post_19 R,1.01402773646329e-09
DorsAttn_Post_2 L,1.55030993129936e-09
DorsAttn_Post_2 R,3.7107740831271e-09
DorsAttn_Post_20 L,7.0793002569312e-10
DorsAttn_Post_20 R,2.51176976291908e-10
DorsAttn_Post_21 L,2.72186748194933e-10
DorsAttn_Post_21 R,5.90460451194687e-10
DorsAttn_Post_22 L,2.42542898789297e-09
DorsAttn_Post_22 R,1.64634486246536e-10
