1.1105e-10,9.9385e-11,4.9903e-11
1.2652e-10,1.0481e-10,2.3e-11
1.0696e-10,9.1906e-11,5.7795e-11
1.1396e-10,1.0073e-10,3.1145e-11
1.0025e-10,8.9481e-11,6.139e-11
1.1893e-10,9.9577e-11,4.7796e-11
1.0597e-10,9.0878e-11,4.5006e-11
1.2268e-10,1.0808e-10,2.0292e-11
1.131e-10,9.9058e-11,3.226e-11
1.202e-10,9.5158e-11,3.3762e-11
1.1852e-10,1.0087e-10,2.9121e-11
1.2166e-10,8.4516e-11,1.8976e-11
9.224e-11,8.8939e-11,6.4071e-11
9.9943e-11,9.357e-11,6.2603e-11
9.9241e-11,8.939e-11,5.6936e-11
1.0634e-10,1.0145e-10,4.1127e-11
1.2107e-10,8.4685e-11,2.3422e-11
1.1501e-10,1.1648e-10,2.1584e-11
1.0365e-10,8.5817e-11,3.1253e-11
1.2947e-10,1.0544e-10,9.5941e-12
1.1886e-10,9.4963e-11,1.4238e-11
1.1152e-10,8.2432e-11,3.5049e-11
1.3105e-10,1.0499e-10,1.5741e-11
1.1836e-10,8.519e-11,1.2242e-11
8.6221e-11,8.0561e-11,4.4985e-11
1.1282e-10,1.0832e-10,4.1466e-11
9.1799e-11,8.2019e-11,3.8857e-11
9.4399e-11,8.3361e-11,4.1444e-11
1.2347e-10,9.5014e-11,6.5955e-12
1.0491e-10,7.4987e-11,3.0906e-11
8.1955e-11,8.4761e-11,6.5072e-11
8.2505e-11,7.5167e-11,5.0701e-11
1.0297e-10,7.5593e-11,3.7566e-11
8.8032e-11,8.1594e-11,3.8856e-11
8.8194e-11,8.1951e-11,4.4545e-11
1.247e-10,9.0905e-11,7.2665e-12
1.0777e-10,7.4908e-11,3.4679e-11
7.6659e-11,7.7256e-11,4.9535e-11
8.7943e-11,9.214e-11,3.3171e-11
8.6658e-11,7.0186e-11,3.3944e-11
9.6423e-11,8.7263e-11,2.0786e-11
1.3089e-10,9.4078e-11,2.038e-11
8.0153e-11,7.4229e-11,7.2042e-11
1.161e-10,1.124e-10,3.4036e-11
1.1207e-10,9.8396e-11,2.8259e-11
1.2951e-10,8.8868e-11,2.5819e-11
9.3084e-11,7.2415e-11,3.4607e-11
1.3882e-10,8.8256e-11,2.1522e-11
1.0677e-10,7.3648e-11,2.7248e-11
8.5848e-11,9.3092e-11,7.7628e-11
8.5994e-11,8.4026e-11,3.5073e-11
9.1629e-11,8.6151e-11,2.5367e-11
9.0197e-11,8.555e-11,2.5186e-11
1.143e-10,8.7487e-11,7.3484e-12
1.3455e-10,8.6098e-11,2.7789e-11
1.3398e-10,7.8136e-11,2.8949e-11
7.3237e-11,7.1659e-11,6.6355e-11
7.932e-11,8.91e-11,3.7962e-11
8.1959e-11,7.0246e-11,3.9601e-11
8.1687e-11,6.6735e-11,3.5437e-11
8.5255e-11,8.0589e-11,2.3414e-11
9.0663e-11,5.7831e-11,2.9556e-11
9.1615e-11,6.4741e-11,3.3236e-11
9.4182e-11,6.5669e-11,3.1475e-11
1.0286e-10,7.1691e-11,1.3322e-11
1.2412e-10,6.808e-11,1.0879e-11
8.904e-11,1.0036e-10,7.4279e-11
7.6534e-11,6.5005e-11,3.7257e-11
8.8599e-11,7.1322e-11,1.9408e-11
1.1654e-10,7.7812e-11,9.6494e-12
1.234e-10,6.6007e-11,1.3165e-11
8.18e-11,8.8429e-11,9.2323e-11
8.9398e-11,9.3766e-11,6.3283e-11
7.5773e-11,8.6691e-11,5.8685e-11
8.6715e-11,8.1471e-11,2.2403e-11
8.5164e-11,5.5513e-11,3.0154e-11
1.1126e-10,7.4631e-11,6.1541e-12
1.2519e-10,7.4994e-11,2.2357e-11
7.7616e-11,5.7519e-11,3.2416e-11
8.4051e-11,6.4696e-11,3.2407e-11
1.0804e-10,6.2782e-11,8.4112e-12
6.3408e-11,5.996e-11,5.0205e-11
6.7396e-11,6.616e-11,6.7279e-11
6.7455e-11,5.4249e-11,4.5257e-11
6.5439e-11,6.8668e-11,6.1083e-11
6.518e-11,5.6202e-11,3.7887e-11
6.6816e-11,7.2078e-11,3.9802e-11
9.1634e-11,7.4914e-11,2.6625e-11
7.3978e-11,6.7527e-11,2.0773e-11
8.3227e-11,7.0025e-11,1.5392e-11
1.1912e-10,7.5247e-11,3.0892e-11
1.1196e-10,7.5542e-11,1.2319e-11
9.0549e-11,5.7592e-11,2.3158e-11
1.2257e-10,6.4774e-11,2.0917e-11
1.1688e-10,6.3142e-11,1.8784e-11
6.593e-11,5.6765e-11,3.0937e-11
6.8064e-11,5.8493e-11,3.2757e-11
6.7895e-11,6.3431e-11,2.8337e-11
7.4552e-11,5.6244e-11,3.1752e-11
1.0538e-10,8.6875e-11,2.0315e-11
9.9709e-11,7.4386e-11,1.048e-11
9.3983e-11,6.0463e-11,1.1497e-11
8.6623e-11,6.4858e-11,8.9294e-11
8.1859e-11,6.4542e-11,8.6717e-11
6.103e-11,5.4569e-11,4.8925e-11
6.69e-11,7.7256e-11,6.1769e-11
5.754e-11,6.2941e-11,4.3525e-11
8.8204e-11,7.2998e-11,2.6508e-11
7.9331e-11,6.8361e-11,1.521e-11
1.211e-10,7.263e-11,3.3983e-11
9.8307e-11,6.2436e-11,8.4816e-12
9.5377e-11,6.1219e-11,1.096e-11
9.4795e-11,5.9925e-11,9.6525e-12
1.0347e-10,6.2355e-11,5.4862e-12
1.1406e-10,6.2096e-11,1.1502e-11
7.2699e-11,5.3921e-11,2.878e-11
6.2847e-11,4.8027e-11,2.8097e-11
7.6712e-11,5.051e-11,2.9631e-11
8.2994e-11,5.2427e-11,2.6557e-11
8.4791e-11,5.8487e-11,1.6011e-11
1.1038e-10,6.0525e-11,9.0547e-12
8.452e-11,7.983e-11,1.0691e-10
7.681e-11,8.4657e-11,8.7163e-11
5.9252e-11,6.4374e-11,3.9805e-11
1.1058e-10,8.3625e-11,2.8072e-11
