"orientation","mean_total_i","sd_total_i","n","se_total_i"
"constrained",1.26721423101333e-06,3.72816262446795e-07,30,6.8066625582292e-08
"unconstrained",7.44135849672628e-07,2.20858195737858e-07,30,4.03230052718386e-08
