"orientation","mean_total_p","sd_total_p","n","se_total_p"
"constrained",2.24045599971997e-08,2.32795980458839e-08,30,4.2502536597946e-09
"unconstrained",7.12236064689794e-09,7.34148617729196e-09,30,1.34036586163839e-09
