"snr","mean_total_p","sd_total_p","n","se_total_p"
1,1.53362687752574e-09,1.55206703057739e-09,30,2.83367374469098e-10
3,7.12236064689794e-09,7.34148617729196e-09,30,1.34036586163839e-09
5,1.5770781148874e-08,1.46662355086438e-08,30,2.67767600725582e-09
