"snr","mean_total_i","sd_total_i","n","se_total_i"
1,3.65343998414212e-07,1.22290485123492e-07,30,2.23270857567956e-08
3,7.44135849672628e-07,2.20858195737858e-07,30,4.03230052718386e-08
5,1.10423391826449e-06,2.88122819382303e-07,30,5.26037891692246e-08
