Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,regions,brainstorm_name,name,ast,end,mic,neu,oli,opc,category,prop_neur,cell_area_density,neuron_area_density,area,number_of_neurons
35,35,35,35,44,fusiform R,R.fusiform,0.119394809,0.155945518,0.114917534,0.042085905,0.140198148,0.025970845,temporal,0.070317473,64258.0,4518.460180034001,,
36,36,36,36,45,inferiorparietal R,R.InfPar,0.091447143,0.06664274,0.128574242,0.073624114,0.091615512,0.02529953,prefrontal,0.154282497,57797.0,8917.065479109,,
37,37,37,37,46,inferiortemporal R,R.InfTemp,0.122996856,0.158877308,0.116476658,0.051555091,0.105826102,0.002809594,temporal,0.092303045,64258.0,5931.20906561,,
38,38,38,38,47,isthmuscingulate R,R.IsthmusCingulate,0.111856245,0.109407252,0.131117714,0.028499799,0.096292911,0.049260222,parietal,0.054137444,80959.0,4382.913328796,,
39,39,39,39,48,lateraloccipital R,R.LatOcci,0.077550596,0.029855672,0.148699818,0.043929423,0.070170202,0.037137065,occipital,0.107843874,104307.0,11248.870965318,,
40,40,40,40,49,lateralorbitofrontal R,R.LatOFC,0.130451627,0.062686128,0.122505,0.081610438,0.088408724,0.012963836,frontal,0.163670724,68428.0,11199.660301872,,
41,41,41,41,50,lingual R,R.lingual,0.075814553,0.076153525,0.085037998,0.060188711,0.085669824,0.069679728,occipital,0.133000694,104307.0,13872.903389058,,
42,42,42,42,51,medialorbitofrontal R,R.MedOFC,0.117115862,0.055561639,0.140911669,0.079670346,0.118593408,0.01666179,prefrontal,0.150743856,57797.0,8712.542645232,,
43,43,43,43,52,middletemporal R,R.MidTemp,0.159254732,0.120705391,0.123605067,0.071196016,0.076715453,0.019462738,temporal,0.124699778,64258.0,8012.958334723999,,
44,44,44,44,53,parahippocampal R,R.parahippocampal,0.074178492,0.087558066,0.121589312,0.024871714,0.185650186,0.039880319,temporal,0.046599972,64258.0,2994.4210007760003,,
45,45,45,45,54,paracentral R,R.paracentral,0.08898778,0.033801492,0.08977534,0.080889543,0.065074341,0.043173926,frontal,0.201366829,68428.0,13779.129374812,,
46,46,46,46,55,parsopercularis R,R.pars-opercularis,0.098771779,0.031008675,0.150895311,0.119429939,0.137797415,0.016068659,frontal,0.21558849,68428.0,14752.28919372,,
47,47,47,47,56,parsorbitalis R,R.pars-orbitalis,0.077514244,0.062215089,0.192187091,0.070710665,0.089924186,0.011621472,frontal,0.140250867,68428.0,9597.086327076,,
48,48,48,48,57,parstriangularis R,R.pars-triangularis,0.052775956,0.0358528,0.233985603,0.058481683,0.119173985,0.012056146,frontal,0.114149318,68428.0,7811.009532104,,
