region,cmro2,cmrglu
Vis_8 R,4600.001,4958.567
Vis_9 R,5826.8013,7159.525
Vis_10 R,5245.4995,6193.33
Vis_11 R,6166.354,7125.7617
Vis_12 R,5094.506,6077.3823
Vis_13 R,5721.9053,6451.2754
Vis_14 R,6365.203,7163.894
Vis_15 R,6122.9155,7093.97
Vis_16 R,4877.1006,5331.8525
Vis_17 R,5254.264,6319.7617
Vis_18 R,6763.6123,7512.2275
Vis_19 R,5011.169,6219.958
Vis_20 R,5245.753,5904.619
Vis_21 R,6286.443,7121.502
Vis_22 R,4010.598,4831.0615
Vis_23 R,6531.335,7551.43
Vis_24 R,6106.2344,7082.7637
Vis_25 R,5160.9253,6228.1055
Vis_26 R,5097.837,6321.062
Vis_27 R,6527.265,7368.7046
Vis_28 R,5322.93,6763.895
Vis_29 R,5317.0503,6188.4414
Vis_30 R,5157.946,6233.4756
Vis_31 R,6766.159,7577.8105
Vis_32 R,5011.513,6288.4995
Vis_33 R,5722.4785,6754.8438
Vis_34 R,5288.522,6663.816
Vis_35 R,5825.3325,6894.9565
Vis_36 R,6356.068,7319.731
Vis_37 R,5567.4253,6675.0337
Vis_38 R,5224.852,6559.469
Vis_39 R,5733.5625,7436.6064
Vis_40 R,5417.809,6738.9067
Vis_41 R,5651.6567,7000.0723
Vis_42 R,5447.3433,6771.102
Vis_43 R,5282.004,6611.1597
Vis_44 R,5590.315,7100.7515
SomMot_1 R,5109.636,5726.507
SomMot_2 R,5177.787,6070.894
SomMot_3 R,5596.5815,6686.574
SomMot_4 R,5270.239,6266.5903
SomMot_5 R,5293.772,6333.1025
SomMot_6 R,5136.0557,5942.5063
SomMot_7 R,5893.142,7328.629
SomMot_8 R,5126.3706,6287.935
SomMot_9 R,5356.8164,6437.622
SomMot_10 R,4895.228,5843.266
SomMot_11 R,5205.224,6292.934
SomMot_12 R,5037.1123,5967.959
SomMot_13 R,5149.33,6360.098
SomMot_14 R,5328.313,6217.09
SomMot_15 R,5281.668,6347.2017
SomMot_16 R,5407.245,6316.681
SomMot_17 R,5242.469,6015.1875
SomMot_18 R,5265.7524,6440.2925
SomMot_19 R,4867.3657,5810.4707
SomMot_20 R,4942.0254,6207.1934
SomMot_21 R,5247.8877,6261.7114
SomMot_22 R,5479.7026,6813.4604
SomMot_23 R,5904.911,7095.1597
SomMot_24 R,4898.3354,6004.2505
SomMot_25 R,4867.993,5926.531
SomMot_26 R,5204.879,6331.706
SomMot_27 R,5697.745,6983.4404
SomMot_28 R,5435.698,6942.338
SomMot_29 R,5437.194,6968.505
SomMot_30 R,5116.3496,6360.0845
SomMot_31 R,5154.8706,6292.005
