s17_name,s7_name
"SomMotB_Aud_4 R","SomMot_9 R"
"SomMotB_Aud_5 L","SomMot_6 L"
"SomMotB_Aud_6 L","SomMot_11 L"
"SomMotB_Aud_7 L","SomMot_12 L"
"SomMotB_Cent_1 L","SomMot_19 L"
"SomMotB_Cent_1 R","SomMot_18 R"
"SomMotB_Cent_2 L","SomMot_20 L"
"SomMotB_Cent_2 R","SomMot_19 R"
"SomMotB_Cent_3 L","SomMot_21 L"
"SomMotB_Cent_3 R","SomMot_20 R"
"SomMotB_Cent_4 L","SomMot_22 L"
"SomMotB_Cent_4 R","SomMot_22 R"
"SomMotB_Cent_5 L","SomMot_23 L"
"SomMotB_Cent_5 R","SomMot_23 R"
"SomMotB_Cent_6 L","SomMot_24 L"
"SomMotB_Cent_6 R","SomMot_28 R"
"SomMotB_Cent_7 L","SomMot_27 L"
"SomMotB_Cent_8 L","SomMot_28 L"
"SomMotB_Ins_1 L","SomMot_8 L"
"SomMotB_Ins_1 R","SomMot_5 R"
"SomMotB_S2_1 L","SomMot_7 L"
"SomMotB_S2_1 R","SomMot_6 R"
"SomMotB_S2_2 L","SomMot_10 L"
"SomMotB_S2_2 R","SomMot_8 R"
"SomMotB_S2_3 L","SomMot_13 L"
"SomMotB_S2_3 R","SomMot_12 R"
"SomMotB_S2_4 L","SomMot_14 L"
"SomMotB_S2_4 R","SomMot_13 R"
"SomMotB_S2_5 L","SomMot_15 L"
"SomMotB_S2_5 R","SomMot_14 R"
"SomMotB_S2_6 L","SomMot_16 L"
"SomMotB_S2_6 R","SomMot_15 R"
"SomMotB_S2_7 L","SomMot_17 L"
"SomMotB_S2_7 R","SomMot_16 R"
"SomMotB_S2_8 L","SomMot_18 L"
"SomMotB_S2_8 R","SomMot_17 R"
"TempPar_1 L","Default_Temp_6 L"
"TempPar_1 R","Default_Temp_6 R"
"TempPar_10 R","Default_Par_1 R"
"TempPar_11 R","SomMot_11 R"
"TempPar_12 R","SalVentAttn_TempOccPar_4 R"
"TempPar_13 R","Default_Par_3 R"
"TempPar_2 L","Default_Temp_9 L"
"TempPar_2 R","Default_Temp_8 R"
"TempPar_3 L","Default_Temp_11 L"
"TempPar_3 R","Default_Temp_9 R"
"TempPar_4 L","Default_Temp_12 L"
"TempPar_4 R","SomMot_2 R"
"TempPar_5 L","SomMot_5 L"
"TempPar_5 R","Default_Temp_11 R"
"TempPar_6 L","SalVentAttn_TempOcc_1 L"
"TempPar_6 R","SomMot_4 R"
"TempPar_7 L","Default_Par_1 L"
"TempPar_7 R","SalVentAttn_TempOccPar_1 R"
"TempPar_8 L","Default_Par_3 L"
"TempPar_8 R","SalVentAttn_TempOccPar_2 R"
"TempPar_9 R","SalVentAttn_TempOccPar_3 R"
"VisCent_ExStr_1 L","Vis_2 L"
"VisCent_ExStr_1 R","Vis_2 R"
"VisCent_ExStr_10 L","Vis_23 L"
"VisCent_ExStr_10 R","Vis_19 R"
"VisCent_ExStr_11 L","Vis_27 L"
"VisCent_ExStr_11 R","Vis_26 R"
"VisCent_ExStr_12 L","Vis_30 L"
"VisCent_ExStr_12 R","Vis_28 R"
"VisCent_ExStr_13 L","Vis_34 L"
"VisCent_ExStr_13 R","Vis_30 R"
"VisCent_ExStr_14 L","Vis_35 L"
"VisCent_ExStr_14 R","Vis_32 R"
"VisCent_ExStr_15 L","Vis_36 L"
"VisCent_ExStr_15 R","Vis_33 R"
"VisCent_ExStr_16 L","Vis_40 L"
"VisCent_ExStr_16 R","Vis_34 R"
"VisCent_ExStr_17 L","Vis_43 L"
"VisCent_ExStr_17 R","Vis_40 R"
"VisCent_ExStr_18 R","Vis_42 R"
"VisCent_ExStr_2 L","Vis_4 L"
"VisCent_ExStr_2 R","Vis_3 R"
"VisCent_ExStr_3 L","Vis_5 L"
"VisCent_ExStr_3 R","Vis_4 R"
"VisCent_ExStr_4 L","Vis_6 L"
"VisCent_ExStr_4 R","Vis_5 R"
"VisCent_ExStr_5 L","Vis_7 L"
"VisCent_ExStr_5 R","Vis_7 R"
"VisCent_ExStr_6 L","Vis_8 L"
"VisCent_ExStr_6 R","Vis_9 R"
"VisCent_ExStr_7 L","Vis_14 L"
"VisCent_ExStr_7 R","Vis_10 R"
"VisCent_ExStr_8 L","Vis_15 L"
"VisCent_ExStr_8 R","Vis_11 R"
"VisCent_ExStr_9 L","Vis_18 L"
"VisCent_ExStr_9 R","Vis_17 R"
"VisCent_Striate_1 L","Vis_16 L"
"VisCent_Striate_1 R","Vis_15 R"
"VisCent_Striate_2 L","Vis_24 L"
"VisCent_Striate_2 R","Vis_23 R"
"VisCent_Striate_3 L","Vis_26 L"
"VisCent_Striate_3 R","Vis_24 R"
"VisPeri_ExStrInf_1 L","Vis_9 L"
"VisPeri_ExStrInf_1 R","Vis_6 R"
"VisPeri_ExStrInf_2 L","Vis_12 L"
"VisPeri_ExStrInf_2 R","Vis_13 R"
"VisPeri_ExStrInf_3 L","Vis_13 L"
"VisPeri_ExStrInf_3 R","Vis_14 R"
"VisPeri_ExStrInf_4 L","Vis_17 L"
"VisPeri_ExStrInf_4 R","Vis_16 R"
"VisPeri_ExStrInf_5 L","Vis_21 L"
"VisPeri_ExStrInf_5 R","Vis_20 R"
"VisPeri_ExStrSup_1 L","Vis_31 L"
"VisPeri_ExStrSup_1 R","Vis_31 R"
"VisPeri_ExStrSup_2 L","Vis_37 L"
"VisPeri_ExStrSup_2 R","Vis_35 R"
"VisPeri_ExStrSup_3 L","Vis_38 L"
"VisPeri_ExStrSup_3 R","Vis_36 R"
"VisPeri_ExStrSup_4 L","Vis_39 L"
"VisPeri_ExStrSup_4 R","Vis_37 R"
"VisPeri_ExStrSup_5 L","Vis_41 L"
"VisPeri_ExStrSup_5 R","Vis_41 R"
"VisPeri_ExStrSup_6 L","Vis_42 L"
"VisPeri_ExStrSup_6 R","Vis_43 R"
"VisPeri_ExStrSup_7 L","Vis_44 L"
"VisPeri_StriCal_1 L","Vis_19 L"
"VisPeri_StriCal_1 R","Vis_18 R"
"VisPeri_StriCal_2 L","Vis_20 L"
"VisPeri_StriCal_2 R","Vis_21 R"
"VisPeri_StriCal_3 L","Vis_22 L"
"VisPeri_StriCal_3 R","Vis_27 R"
"VisPeri_StriCal_4 L","Vis_28 L"
"VisPeri_StriCal_4 R","Vis_29 R"
"VisPeri_StriCal_5 L","Vis_33 L"
