s17_name,s7_name
"DefaultA_PFCm_5 L","Default_PFC_13 L"
"DefaultA_PFCm_5 R","Default_PFCdPFCm_6 R"
"DefaultA_PFCm_6 L","Default_PFC_14 L"
"DefaultA_PFCm_6 R","Default_PFCdPFCm_7 R"
"DefaultA_PFCm_7 L","Default_PFC_15 L"
"DefaultA_PFCm_7 R","Default_PFCdPFCm_8 R"
"DefaultA_PFCm_8 L","Default_PFC_17 L"
"DefaultA_PFCm_8 R","Default_PFCdPFCm_9 R"
"DefaultA_Temp_1 R","Default_Temp_4 R"
"DefaultA_pCunPCC_1 L","Default_pCunPCC_2 L"
"DefaultA_pCunPCC_1 R","Default_pCunPCC_2 R"
"DefaultA_pCunPCC_10 L","Default_pCunPCC_14 L"
"DefaultA_pCunPCC_10 R","Default_pCunPCC_12 R"
"DefaultA_pCunPCC_11 L","Default_pCunPCC_16 L"
"DefaultA_pCunPCC_12 L","Default_pCunPCC_17 L"
"DefaultA_pCunPCC_2 L","Default_pCunPCC_4 L"
"DefaultA_pCunPCC_2 R","Default_pCunPCC_4 R"
"DefaultA_pCunPCC_3 L","Default_pCunPCC_6 L"
"DefaultA_pCunPCC_3 R","Default_pCunPCC_5 R"
"DefaultA_pCunPCC_4 L","Default_pCunPCC_7 L"
"DefaultA_pCunPCC_4 R","Default_pCunPCC_6 R"
"DefaultA_pCunPCC_5 L","Default_pCunPCC_8 L"
"DefaultA_pCunPCC_5 R","Default_pCunPCC_7 R"
"DefaultA_pCunPCC_6 L","Default_pCunPCC_10 L"
"DefaultA_pCunPCC_6 R","Default_pCunPCC_8 R"
"DefaultA_pCunPCC_7 L","Default_pCunPCC_11 L"
"DefaultA_pCunPCC_7 R","Default_pCunPCC_9 R"
"DefaultA_pCunPCC_8 L","Default_pCunPCC_12 L"
"DefaultA_pCunPCC_8 R","Default_pCunPCC_10 R"
"DefaultA_pCunPCC_9 L","Default_pCunPCC_13 L"
"DefaultA_pCunPCC_9 R","Default_pCunPCC_11 R"
"DefaultB_AntTemp_1 R","Default_Temp_1 R"
"DefaultB_AntTemp_2 R","Default_Temp_2 R"
"DefaultB_AntTemp_3 R","Default_Temp_3 R"
"DefaultB_IPL_1 L","Default_Par_2 L"
"DefaultB_IPL_2 L","Default_Par_6 L"
"DefaultB_IPL_3 L","Default_Par_8 L"
"DefaultB_IPL_4 L","Default_Par_10 L"
"DefaultB_PFCd_1 L","Default_PFC_16 L"
"DefaultB_PFCd_1 R","Default_PFCdPFCm_10 R"
"DefaultB_PFCd_2 L","Default_PFC_18 L"
"DefaultB_PFCd_2 R","Default_PFCdPFCm_11 R"
"DefaultB_PFCd_3 L","Default_PFC_19 L"
"DefaultB_PFCd_3 R","Default_PFCdPFCm_12 R"
"DefaultB_PFCd_4 L","Default_PFC_21 L"
"DefaultB_PFCd_4 R","Default_PFCdPFCm_14 R"
"DefaultB_PFCd_5 L","Default_PFC_25 L"
"DefaultB_PFCd_5 R","Default_PFCdPFCm_17 R"
"DefaultB_PFCd_6 L","Default_PFC_28 L"
"DefaultB_PFCd_6 R","Default_PFCdPFCm_19 R"
"DefaultB_PFCd_7 L","Default_PFC_29 L"
"DefaultB_PFCl_1 L","Default_PFC_23 L"
"DefaultB_PFCl_2 L","Default_PFC_24 L"
"DefaultB_PFCv_1 L","Default_PFC_1 L"
"DefaultB_PFCv_1 R","Default_PFCv_1 R"
"DefaultB_PFCv_2 L","Default_PFC_2 L"
"DefaultB_PFCv_2 R","Default_PFCv_3 R"
"DefaultB_PFCv_3 L","Default_PFC_3 L"
"DefaultB_PFCv_3 R","Default_PFCv_4 R"
"DefaultB_PFCv_4 L","Default_PFC_5 L"
"DefaultB_PFCv_4 R","Default_PFCv_5 R"
"DefaultB_PFCv_5 L","Default_PFC_9 L"
"DefaultB_PFCv_5 R","Default_PFCv_6 R"
"DefaultB_PFCv_6 L","Cont_PFCl_2 L"
"DefaultB_PFCv_7 L","Default_PFC_12 L"
"DefaultB_Temp_1 L","Default_Temp_1 L"
"DefaultB_Temp_1 R","Default_Temp_7 R"
"DefaultB_Temp_2 L","Default_Temp_2 L"
"DefaultB_Temp_2 R","Default_Temp_10 R"
"DefaultB_Temp_3 L","Default_Temp_3 L"
"DefaultB_Temp_4 L","Default_Temp_5 L"
"DefaultB_Temp_5 L","Default_Temp_7 L"
"DefaultB_Temp_6 L","Default_Temp_8 L"
"DefaultB_Temp_7 L","Default_Temp_10 L"
"DefaultC_IPL_1 L","Default_Par_4 L"
"DefaultC_IPL_1 R","DorsAttn_Post_5 R"
"DefaultC_IPL_2 L","Default_Par_7 L"
"DefaultC_IPL_2 R","DorsAttn_Post_7 R"
"DefaultC_IPL_3 R","Default_Par_6 R"
"DefaultC_PHC_1 L","Limbic_TempPole_11 L"
"DefaultC_PHC_1 R","Limbic_TempPole_10 R"
"DefaultC_PHC_2 L","Limbic_TempPole_12 L"
"DefaultC_PHC_2 R","Vis_1 R"
"DefaultC_PHC_3 L","Vis_3 L"
"DefaultC_PHC_3 R","Vis_8 R"
"DefaultC_PHC_4 L","Default_PHC_1 L"
"DefaultC_PHC_5 L","Vis_11 L"
"DefaultC_Rsp_1 L","Vis_25 L"
"DefaultC_Rsp_1 R","Vis_22 R"
"DefaultC_Rsp_2 L","Default_pCunPCC_1 L"
"DefaultC_Rsp_2 R","Default_pCunPCC_1 R"
"DefaultC_Rsp_3 L","Default_pCunPCC_3 L"
"DefaultC_Rsp_3 R","Default_pCunPCC_3 R"
"DefaultC_Rsp_4 L","Default_pCunPCC_5 L"
"DorsAttnA_ParOcc_1 L","Vis_29 L"
"DorsAttnA_ParOcc_1 R","Vis_25 R"
"DorsAttnA_ParOcc_2 L","Vis_32 L"
"DorsAttnA_ParOcc_2 R","DorsAttn_Post_4 R"
"DorsAttnA_ParOcc_3 L","DorsAttn_Post_7 L"
"DorsAttnA_ParOcc_3 R","DorsAttn_Post_6 R"
"DorsAttnA_ParOcc_4 L","DorsAttn_Post_8 L"
"DorsAttnA_ParOcc_4 R","Vis_38 R"
"DorsAttnA_SPL_1 L","DorsAttn_Post_9 L"
"DorsAttnA_SPL_1 R","DorsAttn_Post_8 R"
"DorsAttnA_SPL_10 L","DorsAttn_Post_24 L"
"DorsAttnA_SPL_10 R","DorsAttn_Post_26 R"
"DorsAttnA_SPL_11 L","DorsAttn_Post_25 L"
"DorsAttnA_SPL_11 R","DorsAttn_Post_28 R"
"DorsAttnA_SPL_12 R","DorsAttn_Post_29 R"
"DorsAttnA_SPL_2 L","Vis_45 L"
"DorsAttnA_SPL_2 R","Vis_44 R"
"DorsAttnA_SPL_3 L","DorsAttn_Post_10 L"
"DorsAttnA_SPL_3 R","DorsAttn_Post_14 R"
"DorsAttnA_SPL_4 L","DorsAttn_Post_13 L"
"DorsAttnA_SPL_4 R","DorsAttn_Post_17 R"
"DorsAttnA_SPL_5 L","DorsAttn_Post_15 L"
"DorsAttnA_SPL_5 R","DorsAttn_Post_18 R"
"DorsAttnA_SPL_6 L","DorsAttn_Post_17 L"
"DorsAttnA_SPL_6 R","DorsAttn_Post_19 R"
"DorsAttnA_SPL_7 L","DorsAttn_Post_19 L"
"DorsAttnA_SPL_7 R","DorsAttn_Post_21 R"
"DorsAttnA_SPL_8 L","DorsAttn_Post_20 L"
"DorsAttnA_SPL_8 R","DorsAttn_Post_22 R"
"DorsAttnA_SPL_9 L","DorsAttn_Post_22 L"
"DorsAttnA_SPL_9 R","DorsAttn_Post_25 R"
"DorsAttnA_TempOcc_1 L","DorsAttn_Post_1 L"
"DorsAttnA_TempOcc_1 R","DorsAttn_Post_1 R"
"DorsAttnA_TempOcc_2 L","Vis_1 L"
"DorsAttnA_TempOcc_2 R","DorsAttn_Post_2 R"
"DorsAttnA_TempOcc_3 L","DorsAttn_Post_3 L"
"DorsAttnA_TempOcc_3 R","Vis_12 R"
"DorsAttnA_TempOcc_4 L","Vis_10 L"
"DorsAttnA_TempOcc_5 L","DorsAttn_Post_4 L"
"DorsAttnA_TempOcc_6 L","DorsAttn_Post_6 L"
"DorsAttnB_FEF_1 L","DorsAttn_FEF_1 L"
"DorsAttnB_FEF_1 R","DorsAttn_FEF_1 R"
"DorsAttnB_FEF_2 L","DorsAttn_FEF_2 L"
"DorsAttnB_FEF_2 R","DorsAttn_FEF_3 R"
"DorsAttnB_FEF_3 L","DorsAttn_FEF_3 L"
"DorsAttnB_FEF_3 R","DorsAttn_FEF_4 R"
"DorsAttnB_FEF_4 L","DorsAttn_FEF_4 L"
"DorsAttnB_FEF_4 R","SomMot_45 R"
"DorsAttnB_PostC_1 L","SalVentAttn_ParOper_6 L"
"DorsAttnB_PostC_1 R","SalVentAttn_TempOccPar_11 R"
"DorsAttnB_PostC_10 L","DorsAttn_Post_28 L"
"DorsAttnB_PostC_10 R","DorsAttn_Post_30 R"
"DorsAttnB_PostC_11 R","DorsAttn_Post_31 R"
"DorsAttnB_PostC_12 R","SomMot_50 R"
"DorsAttnB_PostC_2 L","DorsAttn_Post_11 L"
"DorsAttnB_PostC_2 R","SalVentAttn_TempOccPar_12 R"
"DorsAttnB_PostC_3 L","DorsAttn_Post_12 L"
"DorsAttnB_PostC_3 R","SomMot_21 R"
"DorsAttnB_PostC_4 L","DorsAttn_Post_14 L"
"DorsAttnB_PostC_4 R","DorsAttn_Post_10 R"
"DorsAttnB_PostC_5 L","DorsAttn_Post_18 L"
"DorsAttnB_PostC_5 R","DorsAttn_Post_15 R"
"DorsAttnB_PostC_6 L","DorsAttn_Post_23 L"
"DorsAttnB_PostC_6 R","DorsAttn_Post_16 R"
"DorsAttnB_PostC_7 L","SomMot_36 L"
"DorsAttnB_PostC_7 R","DorsAttn_Post_20 R"
"DorsAttnB_PostC_8 L","DorsAttn_Post_26 L"
"DorsAttnB_PostC_8 R","DorsAttn_Post_23 R"
"DorsAttnB_PostC_9 L","DorsAttn_Post_27 L"
"DorsAttnB_PostC_9 R","DorsAttn_Post_27 R"
"DorsAttnB_PrCv_1 L","DorsAttn_PrCv_2 L"
"DorsAttnB_PrCv_1 R","DorsAttn_PrCv_2 R"
"DorsAttnB_TempOcc_1 R","DorsAttn_Post_3 R"
"LimbicA_TempPole_1 L","Limbic_TempPole_1 L"
"LimbicA_TempPole_1 R","Limbic_TempPole_1 R"
"LimbicA_TempPole_10 L","Limbic_TempPole_10 L"
"LimbicA_TempPole_11 L","Limbic_TempPole_13 L"
"LimbicA_TempPole_12 L","Limbic_TempPole_14 L"
"LimbicA_TempPole_2 L","Limbic_TempPole_2 L"
"LimbicA_TempPole_2 R","Limbic_TempPole_2 R"
"LimbicA_TempPole_3 L","Limbic_TempPole_3 L"
"LimbicA_TempPole_3 R","Limbic_TempPole_3 R"
"LimbicA_TempPole_4 L","Limbic_TempPole_4 L"
"LimbicA_TempPole_4 R","Limbic_TempPole_4 R"
"LimbicA_TempPole_5 L","Limbic_TempPole_5 L"
"LimbicA_TempPole_5 R","Limbic_TempPole_5 R"
"LimbicA_TempPole_6 L","Limbic_TempPole_6 L"
"LimbicA_TempPole_6 R","Limbic_TempPole_6 R"
"LimbicA_TempPole_7 L","Limbic_TempPole_7 L"
"LimbicA_TempPole_7 R","Limbic_TempPole_7 R"
"LimbicA_TempPole_8 L","Limbic_TempPole_8 L"
"LimbicA_TempPole_8 R","Limbic_TempPole_8 R"
"LimbicA_TempPole_9 L","Limbic_TempPole_9 L"
"LimbicA_TempPole_9 R","Limbic_TempPole_9 R"
"LimbicB_OFC_1 L","Limbic_OFC_1 L"
"LimbicB_OFC_1 R","Limbic_OFC_1 R"
"LimbicB_OFC_10 L","Default_PFC_7 L"
"LimbicB_OFC_10 R","Default_PFCdPFCm_1 R"
"LimbicB_OFC_11 R","Limbic_OFC_9 R"
"LimbicB_OFC_2 L","Limbic_OFC_2 L"
"LimbicB_OFC_2 R","Limbic_OFC_2 R"
"LimbicB_OFC_3 L","Limbic_OFC_3 L"
"LimbicB_OFC_3 R","Limbic_OFC_3 R"
"LimbicB_OFC_4 L","Limbic_OFC_4 L"
"LimbicB_OFC_4 R","Limbic_OFC_4 R"
"LimbicB_OFC_5 L","Limbic_OFC_5 L"
"LimbicB_OFC_5 R","Limbic_OFC_5 R"
"LimbicB_OFC_6 L","Limbic_OFC_6 L"
"LimbicB_OFC_6 R","Cont_PFCl_1 R"
"LimbicB_OFC_7 L","Cont_OFC_1 L"
"LimbicB_OFC_7 R","Limbic_OFC_6 R"
"LimbicB_OFC_8 L","Limbic_OFC_7 L"
"LimbicB_OFC_8 R","Limbic_OFC_7 R"
"LimbicB_OFC_9 L","Limbic_OFC_8 L"
"LimbicB_OFC_9 R","Limbic_OFC_8 R"
"SalVentAttnA_FrMed_1 L","SalVentAttn_Med_2 L"
"SalVentAttnA_FrMed_1 R","SalVentAttn_Med_3 R"
"SalVentAttnA_FrMed_2 L","SalVentAttn_Med_3 L"
"SalVentAttnA_FrMed_2 R","SalVentAttn_Med_4 R"
"SalVentAttnA_FrMed_3 L","SalVentAttn_Med_7 L"
"SalVentAttnA_FrMed_3 R","SomMot_24 R"
"SalVentAttnA_FrMed_4 L","SalVentAttn_Med_11 L"
"SalVentAttnA_FrMed_4 R","SalVentAttn_Med_6 R"
